init_node	term_node	demand
1	2	14.31
1	3	12.306
1	4	24.582
1	5	18.504
1	6	29.298
1	7	64.134
1	8	46.788
1	9	59.736
1	10	8.274
1	11	3.612
1	12	6.888
1	13	3.132
1	14	3.468
1	15	16.512
1	16	18.618
1	17	20.232
1	18	40.56
1	19	21.144
1	20	9.642
1	21	15.996
1	22	8.952
1	23	12.276
1	24	4.998
1	25	10.542
1	26	11.166
1	27	9.732
1	28	4.308
1	29	33.204
1	30	19.47
1	31	28.032
1	32	28.674
1	33	10.908
1	34	9.846
1	35	18.03
1	36	11.556
2	1	14.52
2	3	1.59
2	4	4.71
2	5	3.78
2	6	4.974
2	7	9.42
2	8	10.008
2	9	7.176
2	10	2.874
2	11	0.75
2	12	2.85
2	13	1.542
2	14	0.846
2	15	4.806
2	16	3.012
2	17	2.172
2	18	4.422
2	19	5.232
2	20	3.408
2	21	7.614
2	22	2.226
2	23	3.432
2	24	0.576
2	25	2.052
2	26	2.994
2	27	1.962
2	28	1.83
2	29	5.178
2	30	3.372
2	31	5.628
2	32	6.216
2	33	3.33
2	34	0.858
2	35	6.0
2	36	1.914
3	1	12.834
3	2	1.578
3	4	3.48
3	5	3.408
3	6	4.26
3	7	11.142
3	8	7.596
3	9	9.024
3	10	2.34
3	11	0.672
3	12	2.538
3	13	1.074
3	14	0.81
3	15	4.05
3	16	3.624
3	17	2.766
3	18	6.558
3	19	4.044
3	20	2.676
3	21	5.718
3	22	1.56
3	23	2.478
3	24	0.834
3	25	2.346
3	26	2.88
3	27	2.094
3	28	1.542
3	29	5.73
3	30	3.786
3	31	5.01
3	32	5.598
3	33	2.4
3	34	1.074
3	35	5.328
3	36	2.004
4	1	24.684
4	2	4.548
4	3	3.456
4	5	7.62
4	6	8.646
4	7	23.988
4	8	12.984
4	9	18.66
4	10	4.776
4	11	1.626
4	12	5.166
4	13	2.076
4	14	1.89
4	15	8.85
4	16	8.166
4	17	7.824
4	18	15.6
4	19	8.946
4	20	5.04
4	21	11.508
4	22	3.078
4	23	4.272
4	24	2.238
4	25	5.448
4	26	5.808
4	27	4.974
4	28	3.132
4	29	14.358
4	30	9.096
4	31	10.764
4	32	13.152
4	33	4.578
4	34	2.91
4	35	11.208
4	36	4.11
5	1	18.654
5	2	3.714
5	3	3.282
5	4	7.56
5	6	11.37
5	7	27.672
5	8	17.922
5	9	23.7
5	10	4.074
5	11	1.68
5	12	3.18
5	13	1.326
5	14	1.554
5	15	6.546
5	16	7.416
5	17	6.186
5	18	16.104
5	19	6.588
5	20	4.224
5	21	8.058
5	22	2.814
5	23	4.482
5	24	2.412
5	25	6.036
5	26	6.078
5	27	4.818
5	28	2.058
5	29	12.732
5	30	7.506
5	31	11.988
5	32	7.362
5	33	4.254
5	34	3.576
5	35	7.338
5	36	4.116
6	1	29.586
6	2	4.914
6	3	4.278
6	4	8.802
6	5	11.508
6	7	16.026
6	8	16.65
6	9	14.274
6	10	6.132
6	11	1.146
6	12	7.962
6	13	2.718
6	14	2.112
6	15	9.852
6	16	8.778
6	17	6.084
6	18	11.778
6	19	14.268
6	20	7.68
6	21	14.016
6	22	5.232
6	23	6.564
6	24	1.674
6	25	4.722
6	26	6.348
6	27	3.924
6	28	4.8
6	29	13.164
6	30	9.39
6	31	9.918
6	32	17.436
6	33	5.526
6	34	2.124
6	35	15.858
