init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type
1	817	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
1	818	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
1	821	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
1	822	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	751	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	753	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	754	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	781	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	756	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	757	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	758	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	759	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	719	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	724	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	725	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	761	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	752	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	753	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	892	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	893	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	679	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	707	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	762	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	809	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	222	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	223	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	232	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	241	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
8	899	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
8	900	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
8	901	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
8	904	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
9	588	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
9	651	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
9	659	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
9	902	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
10	564	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
10	566	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
10	568	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
10	570	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
11	258	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
11	784	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
11	788	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
11	792	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
12	433	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
12	437	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
12	443	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
12	444	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
13	649	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
13	684	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
13	686	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
13	974	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
14	462	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
14	463	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
14	464	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
14	467	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
15	648	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
15	658	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
15	660	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
15	674	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
16	366	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
16	767	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
16	769	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
16	770	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
17	370	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
17	471	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
17	472	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
17	474	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
18	395	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
18	454	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
18	868	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
18	870	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
19	143	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
19	286	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
19	290	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
19	804	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
20	334	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
20	335	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
20	364	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
20	367	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
21	353	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
21	360	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
21	920	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
21	922	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
22	639	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
22	641	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
22	642	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
22	938	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
23	278	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
23	875	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
23	877	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
23	878	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
24	456	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
24	733	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
24	734	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
24	735	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
25	768	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
25	772	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
25	773	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
25	775	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
26	455	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
26	768	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
26	774	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
26	826	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
27	132	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
27	200	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
27	203	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
27	268	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
28	153	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
28	158	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
28	164	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
28	167	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
29	151	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
29	152	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
29	546	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
29	549	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
30	151	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
