init_node	term_node	demand
1	2	7.155
1	3	6.153
1	4	12.291
1	5	9.252
1	6	14.649
1	7	32.067
1	8	23.394
1	9	29.868
1	10	4.137
1	11	1.806
1	12	3.444
1	13	1.566
1	14	1.734
1	15	8.256
1	16	5.946
1	17	5.697
1	18	6.666
1	19	5.727
1	20	5.778
1	21	1.986
1	22	2.949
1	23	2.625
1	24	2.727
1	25	1.785
1	26	4.356
1	27	1.755
1	28	5.898
1	29	1.836
1	30	1.998
1	31	1.977
1	32	0.873
1	33	0.375
1	34	1.773
1	35	2.619
1	36	0.729
1	37	9.309
1	38	10.116
1	39	20.28
1	40	10.572
1	41	4.821
1	42	7.998
1	43	4.476
1	44	6.138
1	45	2.499
1	46	5.271
1	47	5.583
1	48	4.866
1	49	2.154
1	50	16.602
1	51	9.735
1	52	7.713
1	53	1.866
1	54	0.957
1	55	2.091
1	56	3.927
1	57	0.783
1	58	1.5
1	59	0.933
1	60	1.608
1	61	3.225
1	62	4.167
1	63	1.947
1	64	3.306
1	65	3.15
1	66	3.018
1	67	6.441
1	68	3.399
1	69	2.34
1	70	2.991
1	71	1.026
1	72	0.519
1	73	2.496
1	74	0.738
1	75	3.885
1	76	3.918
1	77	0.249
1	78	14.016
1	79	14.337
1	80	5.454
1	81	4.923
1	82	9.015
1	83	2.031
1	84	2.196
1	85	3.987
1	86	1.536
1	87	1.038
1	88	1.632
1	89	1.938
1	90	1.542
1	91	1.755
1	92	3.897
1	93	0.729
1	94	1.365
1	95	0.636
1	96	5.778
1	97	1.107
1	98	0.534
2	1	7.26
2	3	0.795
2	4	2.355
2	5	1.89
2	6	2.487
2	7	4.71
2	8	5.004
2	9	3.588
2	10	1.437
2	11	0.375
2	12	1.425
2	13	0.771
2	14	0.423
2	15	2.403
2	16	1.578
2	17	1.518
2	18	1.602
2	19	1.221
2	20	1.386
2	21	0.573
2	22	0.468
2	23	0.171
2	24	1.161
2	25	0.669
2	26	1.716
2	27	0.579
2	28	1.605
2	29	0.42
2	30	0.639
2	31	0.618
2	32	0.261
2	33	0.066
2	34	0.237
2	35	0.825
2	36	0.201
2	37	1.506
2	38	1.086
2	39	2.211
2	40	2.616
2	41	1.704
2	42	3.807
2	43	1.113
2	44	1.716
2	45	0.288
2	46	1.026
2	47	1.497
2	48	0.981
2	49	0.915
2	50	2.589
2	51	1.686
2	52	2.031
2	53	0.357
2	54	0.228
2	55	0.417
2	56	0.585
2	57	0.195
2	58	0.306
2	59	0.36
2	60	0.408
2	61	1.005
2	62	1.188
2	63	0.645
2	64	0.867
2	65	0.939
2	66	0.783
2	67	1.698
2	68	1.419
2	69	0.633
2	70	1.035
2	71	0.354
2	72	0.048
2	73	0.663
2	74	0.288
2	75	1.659
2	76	1.395
2	77	0.15
2	78	2.814
2	79	3.108
2	80	1.665
2	81	0.429
2	82	3.0
2	83	0.441
2	84	0.444
2	85	0.84
2	86	0.543
2	87	0.099
2	88	0.555
2	89	0.426
2	90	0.324
2	91	0.708
2	92	1.578
2	93	0.108
