init_node	term_node	demand
1	2	55.61
1	3	75.59
1	4	67.54
1	5	74.33
1	6	3.48
1	7	7.58
1	8	6.57
1	9	40.16
1	10	29.24
1	11	69.6
1	12	3.09
1	13	10.79
1	14	94.31
1	15	24.88
1	16	11.42
1	17	30.33
1	18	10.26
1	19	1.26
1	20	3.13
1	21	12.74
1	22	19.18
1	23	40.82
1	24	47.69
1	25	3.13
1	26	6.65
1	27	5.53
1	28	6.39
1	29	9.25
1	30	7.29
1	31	28.69
1	32	5.08
1	33	7.98
1	34	18.73
1	35	3.15
1	36	2.82
1	37	14.52
1	38	2.57
2	1	56.31
2	3	97.8
2	4	67.66
2	5	59.73
2	6	4.49
2	7	9.76
2	8	8.57
2	9	41.93
2	10	27.11
2	11	62.1
2	12	3.52
2	13	12.45
2	14	66.1
2	15	22.89
2	16	13.44
2	17	34.68
2	18	12.08
2	19	1.86
2	20	4.2
2	21	10.83
2	22	20.48
2	23	36.96
2	24	50.93
2	25	3.56
2	26	8.04
2	27	6.66
2	28	7.4
2	29	11.19
2	30	9.56
2	31	28.67
2	32	6.17
2	33	9.98
2	34	20.6
2	35	3.72
2	36	4.02
2	37	15.37
2	38	4.01
3	1	75.14
3	2	96.08
3	4	90.27
3	5	104.68
3	6	3.11
3	7	7.03
3	8	5.24
3	9	34.55
3	10	33.09
3	11	71.29
3	12	2.73
3	13	10.01
3	14	95.78
3	15	22.9
3	16	12.62
3	17	37.9
3	18	10.54
3	19	0.95
3	20	2.47
3	21	14.71
3	22	16.87
3	23	35.59
3	24	53.9
3	25	2.91
3	26	5.72
3	27	5.15
3	28	6.07
3	29	9.57
3	30	4.3
3	31	26.34
3	32	4.68
3	33	7.65
3	34	20.8
3	35	2.43
3	36	2.4
3	37	21.1
3	38	2.05
4	1	67.95
4	2	67.21
4	3	91.31
4	5	72.25
4	6	4.13
4	7	10.0
4	8	8.01
4	9	39.49
4	10	29.57
4	11	79.1
4	12	3.0
4	13	11.43
4	14	107.65
4	15	28.19
4	16	13.25
4	17	38.28
4	18	12.87
4	19	1.5
4	20	3.7
4	21	13.44
4	22	18.91
4	23	43.64
4	24	51.67
4	25	3.24
4	26	7.3
4	27	6.28
4	28	7.05
4	29	9.27
4	30	6.9
4	31	34.91
4	32	5.95
4	33	10.01
4	34	19.24
4	35	3.19
4	36	2.67
4	37	23.11
4	38	3.5
5	1	73.2
5	2	58.11
5	3	103.84
5	4	70.75
5	6	4.7
5	7	11.43
5	8	11.18
5	9	41.94
5	10	31.38
5	11	82.09
5	12	3.33
5	13	12.89
5	14	83.72
5	15	24.94
5	16	14.95
5	17	29.44
5	18	14.34
5	19	2.02
5	20	4.65
5	21	14.02
5	22	21.49
5	23	47.5
5	24	57.48
5	25	3.44
5	26	8.44
5	27	6.92
5	28	7.68
5	29	10.85
5	30	9.33
5	31	27.14
5	32	6.82
5	33	11.11
5	34	20.83
5	35	4.31
5	36	3.81
5	37	22.8
5	38	4.71
6	1	3.24
6	2	4.08
6	3	3.67
6	4	3.79
6	5	4.46
6	7	17.3
6	8	20.51
6	9	2.84
6	10	2.01
6	11	4.96
6	12	5.71
6	13	20.59
6	14	6.66
6	15	2.05
6	16	0.7
6	17	2.04
6	18	20.37
6	19	3.68
6	20	6.13
6	21	0.74
6	22	1.82
6	23	2.9
6	24	3.27
6	25	5.41
6	26	10.05
6	27	7.46
6	28	9.22
6	29	4.53
6	30	5.1
6	31	2.25
6	32	7.01
6	33	13.06
6	34	1.29
6	35	1.53
6	36	2.12
6	37	1.2
6	38	9.84
7	1	7.21
7	2	9.19
7	3	5.43
7	4	9.45
7	5	11.1
7	6	13.36
7	8	43.27
7	9	3.5
7	10	3.77
7	11	6.75
7	12	8.74
7	13	37.07
7	14	9.67
7	15	3.58
7	16	2.06
7	17	5.41
7	18	32.3
7	19	8.35
7	20	16.89
7	21	1.6
7	22	2.37
7	23	3.9
7	24	7.61
7	25	8.54
7	26	27.32
7	27	20.42
7	28	21.74
7	29	9.36
7	30	5.56
7	31	3.52
7	32	17.72
7	33	22.54
7	34	2.53
7	35	2.73
7	36	4.29
7	37	1.68
7	38	17.57
8	1	9.11
8	2	11.86
8	3	7.8
8	4	11.09
8	5	15.52
8	6	24.64
8	7	56.47
8	9	6.26
8	10	3.89
8	11	10.09
8	12	17.45
8	13	47.98
8	14	20.18
8	15	3.94
8	16	3.09
8	17	7.7
8	18	54.72
8	19	10.72
8	20	17.08
8	21	2.77
8	22	2.27
8	23	8.53
8	24	11.18
8	25	16.74
8	26	43.5
8	27	39.88
8	28	35.87
8	29	11.0
8	30	10.3
8	31	6.59
8	32	26.63
8	33	56.12
8	34	3.77
8	35	0.29
8	36	5.3
8	37	2.37
8	38	22.54
9	1	41.79
9	2	43.13
9	3	36.29
9	4	40.87
9	5	44.24
9	6	2.69
9	7	4.68
9	8	4.22
9	10	12.44
9	11	29.08
9	12	1.88
9	13	6.99
9	14	48.86
9	15	12.06
9	16	7.69
9	17	17.01
9	18	5.61
9	19	1.2
9	20	2.5
9	21	6.65
9	22	7.01
9	23	17.52
9	24	30.85
9	25	1.65
9	26	5.06
9	27	4.13
9	28	4.49
9	29	9.51
9	30	6.4
9	31	13.37
9	32	3.36
9	33	5.26
9	34	8.92
9	35	2.03
9	36	3.94
9	37	10.17
9	38	2.12
10	1	31.96
10	2	29.3
10	3	36.19
10	4	32.14
10	5	34.76
10	6	2.44
10	7	4.38
10	8	2.86
10	9	13.02
10	11	20.38
10	12	1.76
10	13	5.57
10	14	42.33
10	15	10.69
10	16	5.71
10	17	13.5
10	18	5.06
10	19	1.03
10	20	2.09
10	21	3.91
10	22	6.33
10	23	13.9
10	24	19.46
10	25	1.49
10	26	4.27
10	27	3.64
10	28	3.38
10	29	7.03
10	30	5.88
10	31	12.92
10	32	2.89
10	33	4.88
10	34	5.84
10	35	1.36
10	36	2.7
10	37	7.77
10	38	1.9
11	1	73.61
11	2	64.93
11	3	76.13
11	4	83.21
11	5	87.99
11	6	4.84
11	7	9.1
11	8	6.85
11	9	29.59
11	10	19.78
11	12	4.32
11	13	13.41
11	14	78.44
11	15	22.19
11	16	13.73
11	17	33.69
11	18	11.0
11	19	2.05
11	20	4.31
11	21	10.22
11	22	16.01
11	23	27.17
11	24	50.61
11	25	3.51
11	26	8.65
11	27	7.4
11	28	7.92
11	29	15.99
11	30	10.08
11	31	25.77
11	32	6.12
11	33	9.99
11	34	16.43
11	35	3.05
11	36	6.05
11	37	13.15
11	38	3.73
12	1	2.89
12	2	3.24
12	3	2.06
12	4	2.79
12	5	3.18
12	6	4.33
12	7	8.67
12	8	13.37
12	9	1.37
12	10	1.49
12	11	3.15
12	13	10.48
12	14	3.2
12	15	1.14
12	16	0.64
12	17	1.3
12	18	10.55
12	19	2.4
12	20	5.06
12	21	0.59
12	22	0.73
12	23	1.34
12	24	2.43
12	25	2.44
12	26	8.93
12	27	6.63
12	28	6.89
12	29	2.78
12	30	2.31
12	31	0.94
12	32	6.3
12	33	8.51
12	34	0.79
12	35	0.97
12	36	1.91
12	37	0.72
12	38	4.37
13	1	11.97
13	2	13.57
13	3	13.04
13	4	12.54
13	5	14.56
13	6	22.48
13	7	48.44
13	8	40.29
13	9	8.39
13	10	5.43
13	11	15.59
13	12	13.77
13	14	21.16
13	15	4.88
13	16	2.36
13	17	6.16
13	18	51.33
13	19	12.09
13	20	24.54
13	21	2.23
13	22	3.46
13	23	6.93
13	24	7.43
13	25	10.98
13	26	31.31
13	27	22.83
13	28	23.6
13	29	9.14
13	30	12.79
13	31	6.2
13	32	29.46
13	33	49.81
13	34	3.06
13	35	2.37
13	36	5.89
13	37	3.83
13	38	24.05
14	1	92.6
14	2	64.14
14	3	94.52
14	4	105.14
14	5	83.38
14	6	5.46
14	7	12.49
14	8	13.54
14	9	45.93
14	10	38.28
14	11	72.54
14	12	4.22
14	13	15.91
14	15	20.64
14	16	16.06
14	17	41.81
14	18	15.74
14	19	2.52
14	20	5.59
14	21	14.23
14	22	24.86
14	23	34.99
14	24	61.1
14	25	4.23
14	26	10.23
14	27	8.45
14	28	8.13
14	29	17.03
14	30	9.98
14	31	24.41
14	32	7.85
14	33	12.3
14	34	27.53
14	35	5.16
14	36	6.42
14	37	20.08
14	38	5.5
15	1	27.61
15	2	25.13
15	3	25.68
15	4	31.12
15	5	28.02
15	6	2.17
15	7	4.94
15	8	2.71
15	9	12.93
15	10	10.93
15	11	23.41
15	12	1.59
15	13	4.56
15	14	23.41
15	16	3.41
15	17	11.87
15	18	4.11
15	19	1.03
15	20	2.07
15	21	4.59
15	22	5.9
15	23	10.89
15	24	15.6
15	25	1.55
15	26	3.69
15	27	2.58
15	28	2.25
15	29	6.42
15	30	4.19
15	31	7.02
15	32	2.24
15	33	4.59
15	34	7.88
15	35	0.99
15	36	2.57
15	37	6.28
15	38	2.24
16	1	11.64
16	2	13.53
16	3	12.87
16	4	13.42
16	5	15.46
16	6	0.82
16	7	2.31
16	8	2.23
16	9	7.49
16	10	5.32
16	11	13.15
16	12	0.73
16	13	2.27
16	14	16.59
16	15	3.11
16	17	5.64
16	18	1.94
16	19	0.54
16	20	1.03
16	21	2.27
16	22	3.83
16	23	6.48
16	24	7.74
16	25	0.75
16	26	1.49
16	27	1.05
16	28	1.01
16	29	2.72
16	30	2.48
16	31	4.24
16	32	0.91
16	33	1.77
16	34	3.87
16	35	0.88
16	36	1.16
16	37	3.42
16	38	1.14
17	1	29.77
17	2	33.63
17	3	37.49
17	4	37.36
17	5	29.35
17	6	2.14
17	7	5.51
17	8	5.55
17	9	16.08
17	10	12.16
17	11	31.35
17	12	1.34
17	13	5.42
17	14	41.86
17	15	10.55
17	16	5.43
17	18	4.08
17	19	1.0
17	20	2.22
17	21	5.62
17	22	8.59
17	23	18.8
