init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type
1	31	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
1	32	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
1	159	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
1	161	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	31	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	32	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	37	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
2	216	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	42	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	44	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	61	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
3	62	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	70	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	71	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	75	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
4	82	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	73	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	77	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	78	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
5	96	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	193	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	194	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	195	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
6	198	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	179	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	200	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	201	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
7	202	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0
